station,valid,tmpc,relh,drct,sknt,mslp,p01m
AMW,2019-01-02 08:50,M,M,200.00,8.00,M,M
AMW,2019-01-02 08:53,-8.28,76.20,200.00,8.00,1025.10,0.00
AMW,2019-01-02 08:55,M,M,200.00,8.00,M,M
AMW,2019-01-02 09:00,M,M,200.00,8.00,M,M
AMW,2019-01-02 09:05,M,M,200.00,7.00,M,M
AMW,2019-01-02 09:15,M,M,200.00,8.00,M,M
AMW,2019-01-02 09:20,M,M,200.00,8.00,M,M
AMW,2019-01-02 09:25,M,M,210.00,8.00,M,M
AMW,2019-01-02 09:30,M,M,200.00,6.00,M,M
AMW,2019-01-02 09:35,M,M,210.00,7.00,M,M
AMW,2019-01-02 09:40,M,M,210.00,8.00,M,M
AMW,2019-01-02 09:45,M,M,190.00,7.00,M,M
AMW,2019-01-02 09:50,M,M,200.00,8.00,M,M
AMW,2019-01-02 09:53,-8.28,80.01,200.00,8.00,1024.00,0.00
AMW,2019-01-02 09:55,M,M,190.00,7.00,M,M
AMW,2019-01-02 10:00,M,M,200.00,7.00,M,M
AMW,2019-01-02 10:05,M,M,190.00,7.00,M,M
AMW,2019-01-02 10:10,M,M,200.00,6.00,M,M
AMW,2019-01-02 10:20,M,M,190.00,8.00,M,M
AMW,2019-01-02 10:25,M,M,180.00,8.00,M,M
AMW,2019-01-02 10:35,M,M,180.00,10.00,M,M
AMW,2019-01-02 10:40,M,M,190.00,9.00,M,M
AMW,2019-01-02 10:45,M,M,190.00,10.00,M,M
AMW,2019-01-02 10:50,M,M,200.00,10.00,M,M
AMW,2019-01-02 10:53,-7.78,80.09,200.00,8.00,1022.20,0.00
AMW,2019-01-02 10:55,M,M,190.00,9.00,M,M
AMW,2019-01-02 11:00,M,M,190.00,9.00,M,M
